"Category";"Power";"Target range (low)";"Target range (high)";"Losses";"POA irradiation (satellite)"
"01";274.346;221.982;271.311;0;2974.496
"02";300.263;202.132;247.05;0;2660.775
"03";308.698;322.887;394.64;14.189;4032.172
"04";334.873;401.05;490.172;66.177;5028.503
"05";274.532;212.97;260.297;0;2706.399
"06";215.627;139.628;170.656;0;1895.127
"07";361.155;306.124;374.152;0;3797.483
"08";149.885;112.593;137.614;0;1605.933
"09";207.398;148.464;181.456;0;1900.689
"10";62.85;59.051;72.174;0;935.943
"11";345.36;390.872;477.733;45.512;4916.074
"12";75.982;;;0;
"13";;;;;
"14";;;;;
"15";;;;;
"16";;;;;
"17";;;;;
"18";;;;;
"19";;;;;
"20";;;;;
"21";;;;;
"22";;;;;
"23";;;;;
"24";;;;;
"25";;;;;
"26";;;;;
"27";;;;;
"28";;;;;
"29";;;;;
"30";;;;;
"31";;;;;